objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23766E+18,31.39403763,0.527921962,17.98705,16.92686,16.41751,16.08187,15.90817,4.55002E+17,GALAXY,0.07650699
1.23767E+18,20.95151851,6.603256387,19.46675,17.69124,16.72605,16.24337,15.86927,4.98116E+18,GALAXY,0.123092
1.23766E+18,244.9893698,26.91912527,19.52167,18.10342,17.2798,16.83031,16.52191,1.77455E+18,GALAXY,0.1524307
1.23768E+18,38.46184254,1.574572946,18.79989,17.30147,16.46271,15.98766,15.63483,4.79976E+18,GALAXY,0.08946341
1.23766E+18,236.2292291,49.22030646,19.45122,18.21251,17.71984,17.44725,17.28902,1.31409E+18,GALAXY,0.03866633
1.23766E+18,246.5339062,26.69339987,19.23197,18.16345,17.77032,17.44851,17.32482,1.58534E+18,GALAXY,0.07931747
1.23767E+18,150.665351,24.15474716,17.37735,15.74656,15.02367,14.62718,14.36454,2.63808E+18,GALAXY,0.05572939
1.23765E+18,128.2801327,1.840257115,19.47857,17.59952,16.594,16.14038,15.74466,5.39766E+18,GALAXY,0.1177675
1.23767E+18,120.8122338,11.0412697,17.94042,16.8323,16.43315,16.19679,16.0779,2.72366E+18,GALAXY,0.03434694
1.23766E+18,162.5398447,35.87237582,19.13129,17.96074,17.37144,17.05668,16.84303,2.35317E+18,GALAXY,0.08248788
1.23766E+18,217.2856012,49.64723631,18.74503,17.85973,17.59747,17.37232,17.28853,1.17774E+18,GALAXY,0.07121953
1.23766E+18,124.0984901,22.38306134,18.84466,17.01212,15.95768,15.38675,14.90233,2.16856E+18,GALAXY,0.08187537
1.23767E+18,126.5096115,11.13471588,19.56332,18.23661,17.47156,17.03494,16.74338,2.72822E+18,GALAXY,0.101695
1.23766E+18,243.2770921,26.84699846,18.9189,17.44977,16.63411,16.18722,15.85343,1.77557E+18,GALAXY,0.09032454
1.23765E+18,339.1025308,-8.660021598,19.26975,17.60252,16.75568,16.30127,15.97507,8.1302E+17,GALAXY,0.08170366
1.23767E+18,222.2831288,26.52355756,19.23718,17.43125,16.45749,16.00286,15.6104,2.4117E+18,GALAXY,0.1034994
1.23767E+18,166.3888754,30.13091557,18.84025,17.69798,17.14248,16.76999,16.58169,2.24056E+18,GALAXY,0.07242493
1.23767E+18,207.3661036,18.68566183,18.73748,17.5306,16.95118,16.59641,16.36046,3.10308E+18,GALAXY,0.07605688
1.23767E+18,222.1201917,18.44823872,19.28392,17.95803,17.35467,17.01299,16.79337,3.12552E+18,GALAXY,0.04052684
1.23766E+18,135.7968978,44.65959552,18.54028,17.45132,16.95497,16.61041,16.39763,1.00994E+18,GALAXY,0.05001625
1.23765E+18,186.863095,-3.485131095,19.33306,17.94947,16.99562,16.50173,16.21307,3.76109E+17,GALAXY,0.1932219
1.23766E+18,173.3515755,37.0900628,19.37985,18.3193,17.72557,17.34255,17.14866,2.29236E+18,GALAXY,0.1355651
1.23766E+18,3.140440905,-0.0484673,16.97006,15.14782,14.34157,13.95133,13.68568,4.38084E+17,GALAXY,0.03949318
1.23765E+18,228.3486734,2.940205055,17.9367,15.96931,15.0594,14.64677,14.3187,6.64284E+17,GALAXY,0.04635356
1.23765E+18,229.6663826,60.45141553,19.55235,18.23606,17.62236,17.25396,17.05842,6.9032E+17,GALAXY,0.1294057
1.23768E+18,359.796151,17.10304826,19.30691,17.40572,16.41734,15.95596,15.6212,6.94922E+18,GALAXY,0.09993472
1.23766E+18,185.0079603,42.61650339,17.95363,16.18559,15.3607,14.95278,14.61928,1.63272E+18,GALAXY,0.038184
1.23765E+18,173.8874909,-0.457946008,18.93319,17.69432,17.09057,16.70038,16.45228,3.17548E+17,GALAXY,0.1172562
1.23766E+18,127.169377,7.472581076,19.06693,17.14567,16.24566,15.83544,15.51261,1.97933E+18,GALAXY,0.07151171
1.23766E+18,128.6421505,29.41269699,19.3098,18.0022,17.37864,16.92923,16.70974,1.42777E+18,GALAXY,0.07725962
1.23766E+18,175.9416021,47.9454315,19.07069,17.70558,16.99285,16.58516,16.30077,1.62595E+18,GALAXY,0.07270426
1.23766E+18,207.3774222,5.053021508,19.05995,17.47113,16.60333,16.15017,15.82313,9.62751E+17,GALAXY,0.07879579
1.23766E+18,217.4781792,11.69061576,19.01347,17.30611,16.41405,15.93155,15.59713,1.92428E+18,GALAXY,0.0684985
1.23766E+18,253.5284241,31.36725606,19.22678,17.17384,16.198,15.78578,15.45435,1.32414E+18,GALAXY,0.0852613
1.23767E+18,214.1988008,-0.554762656,19.46122,18.16592,17.25618,16.8387,16.5211,3.41152E+17,GALAXY,0.1817379
1.23767E+18,158.3054887,17.50464573,19.04476,18.0297,17.743,17.53842,17.41406,2.91954E+18,GALAXY,0.03337371
1.23766E+18,176.3228221,48.62860558,18.58058,17.45585,17.07926,16.83409,16.72732,1.08876E+18,GALAXY,0.04090651
1.23765E+18,196.373138,-3.447887884,19.16043,17.1544,16.20419,15.77228,15.44385,3.81691E+17,GALAXY,0.08593418
1.23765E+18,350.5384902,14.0997362,19.34981,17.61489,16.77635,16.37976,16.16926,8.38861E+17,GALAXY,0.0491966
1.23767E+18,180.7027951,16.75003155,19.3248,17.91601,17.20914,16.77989,16.50052,2.92176E+18,GALAXY,0.1079105
1.23767E+18,234.8644121,23.34379644,19.59772,17.48708,16.46495,16.02482,15.62562,2.43762E+18,GALAXY,0.08902652
1.23766E+18,183.7610694,51.22820286,18.84289,17.42417,16.54858,16.06817,15.80616,1.09225E+18,GALAXY,0.168361
1.23767E+18,153.0206164,17.0031749,17.56,16.75809,15.87461,15.64021,15.52463,2.91274E+18,GALAXY,0.02205885
1.23767E+18,232.1401091,13.01245175,18.0886,17.05261,16.68947,16.49527,16.5121,3.10083E+18,GALAXY,0.02856131
