objid,ra,dec,u,g,r,i,z,specobjid,class,redshift
1.23765E+18,180.4993095,65.98287051,18.72449,18.6332,18.42368,18.4822,18.48353,6.73455E+17,QSO,1.011801
1.23766E+18,214.4762875,46.12480674,19.59973,19.5054,19.34841,19.4344,19.43092,9.57039E+18,QSO,1.028244
1.23766E+18,170.021457,42.61312115,19.55974,19.12258,19.01828,18.90918,18.69282,1.53693E+18,QSO,1.993604
1.23766E+18,329.9471218,-1.200433744,19.5755,19.62878,19.25104,19.18015,18.95366,1.03944E+19,QSO,1.98281
1.23766E+18,146.90033,43.86380167,19.0016,19.00332,19.0442,18.71627,18.80745,1.05961E+18,QSO,1.700495
1.23768E+18,9.850381855,16.95929473,19.44784,19.30328,19.17412,19.22994,19.30226,1.24301E+19,QSO,0.9933081
1.23766E+18,190.2209216,10.94697561,18.56698,18.53253,18.51118,18.25106,18.13783,6.08688E+18,QSO,1.919994
1.23766E+18,349.3271561,15.38194885,18.44396,18.34617,18.14637,18.10899,18.11568,8.38888E+17,QSO,1.158889
1.23767E+18,145.4050224,13.50726035,18.78203,18.71271,18.23874,18.26331,18.31953,2.90498E+18,QSO,1.348047
1.23767E+18,227.3176055,17.36385107,19.10117,18.84437,18.74507,18.4677,18.39372,3.1301E+18,QSO,1.682689
1.23765E+18,114.7906555,36.15041001,19.16884,19.00239,18.77901,18.6337,18.61855,1.05409E+19,QSO,1.233667
1.23767E+18,253.3162438,39.96670855,19.27947,18.69817,18.70005,18.46,18.4642,7.09337E+17,QSO,0.6683866
1.23768E+18,43.99962878,0.886520756,18.87018,18.55765,18.46913,18.52043,18.38789,1.05498E+19,QSO,0.8450737
1.23765E+18,134.4768731,50.20031625,19.40673,19.18828,18.85262,18.86326,18.96039,6.20395E+17,QSO,1.12897
1.23768E+18,336.6425818,-1.314175994,19.5477,19.16923,18.99611,18.9197,18.76954,1.02998E+19,QSO,0.8906786
1.23768E+18,15.38874525,32.11902131,18.51502,18.40322,18.22181,18.01911,17.78467,8.69438E+18,QSO,2.062169
1.23766E+18,220.1278893,10.95142017,18.8209,18.42808,18.29298,18.07806,18.1066,1.92654E+18,QSO,1.595335
1.23767E+18,205.4677368,-1.515476479,18.69196,18.44294,18.36488,18.32247,18.2449,1.02804E+18,QSO,0.7631623
1.23765E+18,213.6628166,61.22915538,18.97558,18.6897,18.63052,18.40421,18.46184,6.8237E+17,QSO,1.518541
1.23766E+18,184.2409064,15.45182433,19.16414,19.2388,19.18155,19.09895,18.85127,6.07775E+18,QSO,1.941645
1.23768E+18,3.694942943,30.28835066,19.02267,19.00884,18.84834,18.55449,18.4561,8.72148E+18,QSO,1.765286
1.23768E+18,13.68323901,29.68145618,19.5199,18.43793,17.47775,16.97009,16.70691,8.69318E+18,QSO,0.1195805
1.23768E+18,336.2753122,29.96298695,19.47373,19.33707,19.14006,19.22602,19.24309,8.6819E+18,QSO,0.9780023
1.23767E+18,203.0943281,3.794405334,19.47289,18.92564,18.29068,17.95975,17.80646,9.60475E+17,QSO,1.441531
1.23766E+18,167.5755293,10.77208408,19.50607,18.75113,17.86515,17.33843,17.15257,6.03622E+18,QSO,0.174292
1.23766E+18,150.3871641,55.98528216,19.38833,19.13991,18.97111,18.8216,18.82701,1.06409E+18,QSO,1.685911
1.23766E+18,162.1248113,12.57445676,19.11655,18.94843,18.94386,18.74082,18.50762,1.80271E+18,QSO,0.4416778
